page|point|sector|source_doc
24|Trading, agriculture, agro-processing, manufacturing,|Agriculture|IDP_CITIZEN
24|Provides a ready market for commercial and other sectors|Commerce|IDP_CITIZEN
24|Labour force participation rate: 42.5% (CSO, 2014). among others.|Governance|IDP_CITIZEN
24|High proportion of economically inactive persons.|Unknown|IDP_CITIZEN
24|Unemployment rate: 25.1% in 2010. Kabwe’s|Unknown|IDP_CITIZEN
24|Estimated 1,200 formal business enterprises and at least in 2010.It has|Commerce|IDP_CITIZEN
24|,000 informal enterprises. a high number|Unknown|IDP_CITIZEN
24|Bulk of informal trade in Central Business District and other|Commerce|IDP_CITIZEN
24|Retail trade dominates the informal sector, followed by|Commerce|IDP_CITIZEN
24|Presence of major financial institutions including|Unknown|IDP_CITIZEN
24|All institutions are located in Central Business District, which informal sector.|Commerce|IDP_CITIZEN
24|Availability of financial services aids women’s access to|Unknown|IDP_CITIZEN
25|23 existing markets, with 10 fully active, 13 are still|Commerce|IDP_CITIZEN
25|Not enough modern infrastructure including shelter, toilets, active. There are 3|Water and Sanitation|IDP_CITIZEN
25|Three shopping malls exist, but water and sanitation water and sanitation|Water and Sanitation|IDP_CITIZEN
25|Poor water supply and sanitation pose health threats to the|Water and Sanitation|IDP_CITIZEN
25|Not enough market infrastructure. • Construct 13 modern market shelters in Zambezi, Ngungu, Kawama|Commerce|IDP_CITIZEN
25|Poor water supply and sanitation • Rehabilitate sanitation facilities at the following markets: Pollen (1), Njanji|Water and Sanitation|IDP_CITIZEN
25|Limited access to financial • Facilitate access to grants and loans to 900 clubs, organised groups and|Unknown|IDP_CITIZEN
25|Conduct 5 trainings on how to develop business plans focusing on utilising|Commerce|IDP_CITIZEN
25|Limited youths with skills to • Train 2,000 youths in skills development. 500 in each year from 2023 to|Unknown|IDP_CITIZEN
25|High cost of doing business. • Conduct 5 consultative meetings with the business community. 1 each|Commerce|IDP_CITIZEN
25|Not enough industries. • Hold an investment fair to showcase the district’s potential investment|Unknown|IDP_CITIZEN
26|Street vending can reduce Council|Roads and Drainages|IDP_CITIZEN
26|It is policy that every market constructed|Commerce|IDP_CITIZEN
27|. TRANSPORTATION AND TELECOMMUNICATION|Unknown|IDP_CITIZEN
27|Fairly good road network linked to all places of social and There is a railway|Roads and Drainages|IDP_CITIZEN
27|Passes through the district from south to north, and primarily carries cargo.|Unknown|IDP_CITIZEN
27|The district has only one airstrip in Chililalila, which is in a|Unknown|IDP_CITIZEN
27|The district has no airport. in Chililalila and it|Unknown|IDP_CITIZEN
27|One intra-bus station run by the Local Authority, with a airport.|Unknown|IDP_CITIZEN
27|One privately owned bus station.|Unknown|IDP_CITIZEN
27|Two privately owned bus stops. Construction is|Unknown|IDP_CITIZEN
27|Construction is underway for a transit bus station to boost|Unknown|IDP_CITIZEN
27|Poor transport (road, rail, and air) network in all the wards in|Roads and Drainages|IDP_CITIZEN
27|Absence of a bus station for both local and long-distance|Unknown|IDP_CITIZEN
27|Numerous un-gazetted roads and are in a very bad condition systems.|Roads and Drainages|IDP_CITIZEN
27|Classified as feeder roads under the custody of the Local|Roads and Drainages|IDP_CITIZEN
28|Roads Department initiated emergency repair and Emergency repairs|Roads and Drainages|IDP_CITIZEN
28|Phase II of the program will focus on repairing main district will focus on main|Unknown|IDP_CITIZEN
28|Mobile network coverage: 98.97% according to Kabwe|Unknown|IDP_CITIZEN
28|Though fairly good, some rural parts of the district face poor|Unknown|IDP_CITIZEN
28|Land telephone services are provided by Zambia rural areas.|Housing|IDP_CITIZEN
28|Mobile phone service providers: Airtel, MTN and ZAMTEL There is good|Unknown|IDP_CITIZEN
28|Good radio reception in the district. stations.|Unknown|IDP_CITIZEN
28|Four local radio stations: KNC, Radio Maranatha, Power FM,|Energy|IDP_CITIZEN
28|Zambian TV broadcasts. to satellite TV.|Roads and Drainages|IDP_CITIZEN
28|Satellite TV is also accessible in the district.|Unknown|IDP_CITIZEN
28|Poor transport (road, rail and air) • Rehabilitate 50km of damaged township roads and drainages in all wards,|Roads and Drainages|IDP_CITIZEN
28|Construct and maintain 50 Km of township roads and drainages in all|Roads and Drainages|IDP_CITIZEN
28|Gazette and name of 120 undefined township/feeder roads in all wards. 40|Roads and Drainages|IDP_CITIZEN
28|Buy road construction equipment (grader, compactor, tipper, excavator)|Roads and Drainages|IDP_CITIZEN
28|Construct bridge in Munyama Kalima by 2025.|Roads and Drainages|IDP_CITIZEN
28|Upgrade airstrip in Chililalila by 2024.|Unknown|IDP_CITIZEN
28|Construct an airport in Mpima by 2025.|Unknown|IDP_CITIZEN
28|Rehabilitate rail line of 140 km in the entire district, at least 28km per year|Unknown|IDP_CITIZEN
28|Absence of a bus station for both • Complete the construction of Lukanga bus station in Lukanga Ward by|Governance|IDP_CITIZEN
28|Poor network coverage in • Lobby for the expansion of telecommunication services in Kalwelwe|Unknown|IDP_CITIZEN
29|Did you know that Kabwe Municipal Council with support|Governance|IDP_CITIZEN
30|Located 50km west of Kabwe district, covering 2,600 km2. Lukanga Swamp is|Unknown|IDP_CITIZEN
30|Supports wildlife and provides resources like fish, agricultural|Unknown|IDP_CITIZEN
30|Significant cultural identity for the Lenje tribe.|Unknown|IDP_CITIZEN
30|Established in 1992, stocked with various wildlife.|Unknown|IDP_CITIZEN
30|Central location and numerous tourist attractions make tourist destination|Unknown|IDP_CITIZEN
30|Private Zambian-owned enterprise specialising in breeding|Unknown|IDP_CITIZEN
30|Offers outdoor camping, boat cruising, braai facilities, and company that|Unknown|IDP_CITIZEN
30|Replica installed at Broken Hill Man monument in Civic|Unknown|IDP_CITIZEN
30|Attracts visitors and promotes local tourism. Broken Hill Man|Unknown|IDP_CITIZEN
30|Big Tree with historical significance, declared a national|Environment|IDP_CITIZEN
30|Located in Central Business District, standing over 50|Commerce|IDP_CITIZEN
31|Diverse cultural backgrounds represented by various ethnic|Unknown|IDP_CITIZEN
31|Department of Arts and Culture coordinates preservation of various ethnic|Unknown|IDP_CITIZEN
31|Man-made lake created in 1925 to provide hydroelectric|Unknown|IDP_CITIZEN
31|Has historical significance, opened by the Prince of Wales. to provide electricty|Unknown|IDP_CITIZEN
31|Birthplace of Zambian politics and important during colonial|Unknown|IDP_CITIZEN
31|Crucial decisions leading to independence made here, Dr. Mine was one of the|Unknown|IDP_CITIZEN
31|Earliest large mine in Northern Rhodesia, now Zambia.|Unknown|IDP_CITIZEN
31|Its contribution to regional mining history is not well-|Unknown|IDP_CITIZEN
31|Located east of Kabwe district, with an embankment dam a dam and hydro|Unknown|IDP_CITIZEN
31|Poor road accessibility limits awareness of its existence.|Roads and Drainages|IDP_CITIZEN
32|• Inadequate tourism- related • Rehabilitate 1 theatre house (Venus theatres in Bwacha Ward) in 2023.|Governance|IDP_CITIZEN
32|Construct a museum in Mutwewansfu (at the Broken Hill site) by 2027.|Unknown|IDP_CITIZEN
32|• Limited investment in the • Hold 30 cultural carnival festival / roadshows in all wards. 5 each year from|Roads and Drainages|IDP_CITIZEN
32|• Low participation by locals • Identify, train and mentor 20 traditional crafts practitioners in value addition|Governance|IDP_CITIZEN
32|The Mukuyu Tree (before civilization time) served as an|Environment|IDP_CITIZEN
32|The skull of the primeval (Broken Hill) man was discovered|Unknown|IDP_CITIZEN
33|Kabwe has 7 filling stations. Kabwe has 7 filling|Unknown|IDP_CITIZEN
33|The district is connected to the national power grid through|Energy|IDP_CITIZEN
33|Peri-urban and rural areas face difficulties in accessing Kabwe District is|Unknown|IDP_CITIZEN
33|High dependence on charcoal and firewood.|Unknown|IDP_CITIZEN
33|Only 52.3% of households connected to electricity in the|Energy|IDP_CITIZEN
33|Lack of access to electricity in • Connect peri urban wards to the power grid (Chinyanja, Muwowo East and|Energy|IDP_CITIZEN
33|High dependence on hydro power • Identify and title of land for 9 solar power plants in Mpima, Makululu,|Energy|IDP_CITIZEN
33|Establish 2 wind farms in Munyama and Mpima by 2027.|Agriculture|IDP_CITIZEN
34|Renewable energy sources such as solar|Energy|IDP_CITIZEN
35|High incidence of diseases such as TB, Malaria, HIV/AIDS, as TB, malaria,|Health|IDP_CITIZEN
35|Problems: stunted growth, underweight, wasted children|Environment|IDP_CITIZEN
35|Health facilities total number is: 51. Kabwe district is faced|Health|IDP_CITIZEN
35|Public: 44. with problems such|Unknown|IDP_CITIZEN
35|Urban areas: many facilities in close proximity.|Unknown|IDP_CITIZEN
35|Rural areas: fewer facilities, often health posts. The doctor to patient|Health|IDP_CITIZEN
35|Doctor Patient Ratio: 1: 49,400 (against standard of 1:5,000).|Health|IDP_CITIZEN
35|Water supply at public health facilities:|Health|IDP_CITIZEN
35|Facilities with boreholes: 22.|Water and Sanitation|IDP_CITIZEN
35|Facilities with hand pumps: 13.|Unknown|IDP_CITIZEN
35|Facilities connected to Lukanga Water and Sanitation|Water and Sanitation|IDP_CITIZEN
35|Facilities with well submersible pump: 2.|Unknown|IDP_CITIZEN
35|Total number of facilities with maternity annexes: 24 out of|Unknown|IDP_CITIZEN
35|medical facilities are|Unknown|IDP_CITIZEN
35|Facilities connected to the power grid (ZESCO): 29.|Energy|IDP_CITIZEN
35|Facilities powered by solar: 15. power grid, 15 are|Energy|IDP_CITIZEN
35|The district has no district hospital. powered by solar.|Energy|IDP_CITIZEN
35|Kabwe Central Hospital.|Health|IDP_CITIZEN
35|Kabwe Women, New-born and Children Hospital.|Health|IDP_CITIZEN
36|Promotive, preventive, curative, rehabilitative, and Kabwe General|Unknown|IDP_CITIZEN
36|Kabwe General Hospital facilities:|Health|IDP_CITIZEN
36|Additional services: Antiretroviral therapy (ART), and are antiretroviral|Unknown|IDP_CITIZEN
36|Long distances to facilities.|Unknown|IDP_CITIZEN
36|No enough health workers due to a lack of accommodation.|Health|IDP_CITIZEN
36|Facilities spaced at a radius greater than the national|Unknown|IDP_CITIZEN
37|Poor water supply at healthcare • Drill 19 boreholes in Chankalamo Health Post, Chililalila Health Post,|Water and Sanitation|IDP_CITIZEN
37|, 2024, 2025, 2026 and 3 in 2027.|Unknown|IDP_CITIZEN
37|Poor sanitation services at • Construct 57 ablution blocks in Chankalamo Health Post, Chililalila Health|Health|IDP_CITIZEN
37|Not enough health facilities. • Construct 1 district hospital in Natuseko by 2025.|Health|IDP_CITIZEN
37|Upgrade Ngungu and Mahatma Gandhi to mini hospitals (construct a|Health|IDP_CITIZEN
37|Upgrade 5 health facilities (construction of OPD block, Laboratory)|Health|IDP_CITIZEN
37|Construct 5 health facilities in Kamushanga (Kakumbi), 4Miles|Health|IDP_CITIZEN
37|Not enough maternity wings. • Construct 24 maternity wings in all health facilities in 2023 (13), 2024 (11).|Health|IDP_CITIZEN
37|Extend 4 maternity annexes: Pollen, Bwacha, Kasanda, Natuseko. 2 each|Unknown|IDP_CITIZEN
37|Long distance to access health • Purchase 4 ambulances, one each year from 2024 to 2027.|Health|IDP_CITIZEN
37|Some health facilities do not have • Construct 35 boundary wall fences in 2023 (2), 2024 (5), 2025 (8), 2026 (10),|Health|IDP_CITIZEN
37|Not enough houses for health • Construct houses for health staff at 18 health posts (Mpima Dairy, Munga,|Health|IDP_CITIZEN
37|Some health facilities cannot • Purchase 44 user friendly beds in all the health facilities 15 in 2023, 17 in|Health|IDP_CITIZEN
37|Not enough waste management • Construct incinerators at 19 health facilities; Pollen Health Centre,|Health|IDP_CITIZEN
38|Antenatal visits can reduce complications|Unknown|IDP_CITIZEN
39|Total No. of schools: 238.|Education|IDP_CITIZEN
39|Early Education 78 (Community: 3, Public: 43, Private: 32).|Education|IDP_CITIZEN
39|Primary: 124 (Community: 8, Public: 64, Grant Aided: 4, schools including|Education|IDP_CITIZEN
39|Secondary: 36(Public: 28, Grant Aided: 6, Private: 2).|Unknown|IDP_CITIZEN
39|Early education: 2010: 283, 2022: 2,689. district has increased|Education|IDP_CITIZEN
39|Primary education: 2010: 27,423, 2022: 53,973. between 2010 and|Education|IDP_CITIZEN
39|Secondary education: 2010: 11,428, 2022: 25,693. 2022.|Education|IDP_CITIZEN
39|Urban area: higher concentration.|Unknown|IDP_CITIZEN
39|Rural area: lower concentration. There were 2,964|Unknown|IDP_CITIZEN
39|Positive progression rate for both girls and boys. progression rate|Unknown|IDP_CITIZEN
39|Slight drop for boys in 2022. for both boys and|Unknown|IDP_CITIZEN
39|Positive progression rate for both girls and boys.|Unknown|IDP_CITIZEN
39|Attributed to the reading program.|Unknown|IDP_CITIZEN
39|Trade College: 1. one Trade|Commerce|IDP_CITIZEN
39|Universities and skills training institutes: 3 each.|Unknown|IDP_CITIZEN
40|Primary schools: 1:75 (standard: 1:45).|Education|IDP_CITIZEN
40|Secondary schools: 1:55 (standard: 1:40).|Education|IDP_CITIZEN
40|Early Childhood: 1:45 (standard: 1:25).|Unknown|IDP_CITIZEN
40|Primary 1:5 (against standard of 1:2), Secondary 1:2 (against the standard.|Unknown|IDP_CITIZEN
40|Schools with running water and water borne toilets: 77 Out of the 135|Water and Sanitation|IDP_CITIZEN
40|Schools connected to the National Grid: 83 (mostly urban) are connected to|Education|IDP_CITIZEN
40|Schools connected to Government internet service: 14 14 are connected|Education|IDP_CITIZEN
41|Not enough teachers in some • Lobby for the recruitment of 1,490 teachers in all wards in the district, 75 in|Education|IDP_CITIZEN
41|High illiteracy levels. • Open 25 Adult literacy Education Centres in all wards in 2023 (6), in 2024|Education|IDP_CITIZEN
41|Establish Early childhood centers in Justine Kabwe, Waya, Chililalila,|Unknown|IDP_CITIZEN
41|Not enough furniture such as • Buy 65,000 desks in schools in all Wards in 2023 (2,800), 2024 (16,142) 2025|Education|IDP_CITIZEN
41|Not enough staff houses. • Construct staff houses in all rural schools such as Minyama, Munga,|Education|IDP_CITIZEN
41|Absence of boarding schools in • Construct 4 boarding secondary schools in the district (1 at Kafulamase 1|Education|IDP_CITIZEN
41|Not enough special education • Establish 8 special education centres in Mine, Grace Christian primary|Education|IDP_CITIZEN
41|Not enough laboratories at • Construct 3 laboratories in 22 Schools in the district in year 2023 (10), year|Education|IDP_CITIZEN
41|Not enough schools to cater for • Construct a primary school in Kasavasa ,Waya, Kawama; one each year|Education|IDP_CITIZEN
41|Construct school halls in at Danford Chirwa and Raphael Kombe schools in|Education|IDP_CITIZEN
41|Construct 6X3 classroom blocks in 3 primary schools in Nakoli, Bwafwano,|Education|IDP_CITIZEN
41|• Not enough sanitation facilities • Construct ablution blocks in rural and peri urban schools in Chinyanja,|Education|IDP_CITIZEN
41|• Not enough access to clean • Drill boreholes and establish piped water schemes in Chinyanja, Munga,|Water and Sanitation|IDP_CITIZEN
41|• School infrastructure in a bad • Rehabilitation of 100 existing schools at all levels of education in all wards;|Education|IDP_CITIZEN
42|K abwe presently has no boarding|Unknown|IDP_CITIZEN
43|. WATER AND SANITATION|Water and Sanitation|IDP_CITIZEN
43|Key role in socio-economic development.|Unknown|IDP_CITIZEN
43|Availability and access to water has been affected by access to water|Water and Sanitation|IDP_CITIZEN
43|Major sources: Tap water, boreholes, and protected wells.|Water and Sanitation|IDP_CITIZEN
43|Main supplier: Lukanga Water and Sanitation Company|Water and Sanitation|IDP_CITIZEN
43|Urban area: connected to LWSC|Unknown|IDP_CITIZEN
43|Supplied through water reticulation system by LWSC, few water network.|Water and Sanitation|IDP_CITIZEN
43|19,829 households connected to LWSC water network.|Water and Sanitation|IDP_CITIZEN
43|Supplied through drilled boreholes, protected wells. 180 boreholes|Water and Sanitation|IDP_CITIZEN
43|180 boreholes constructed in the district.|Water and Sanitation|IDP_CITIZEN
43|50 are non-functional (mostly in the peri urban parts of functional.|Unknown|IDP_CITIZEN
43|Access to safe and clean water:|Water and Sanitation|IDP_CITIZEN
43|About 70% of population have access.|Unknown|IDP_CITIZEN
43|30% do not have access. infrastructure is|Unknown|IDP_CITIZEN
43|Sources: in bad shape, and|Unknown|IDP_CITIZEN
43|70% from ground water (Kalulu Wellfield).|Water and Sanitation|IDP_CITIZEN
43|30% from Brunelli Dam. supply.|Unknown|IDP_CITIZEN
43|Reduction in ground water abstraction:|Water and Sanitation|IDP_CITIZEN
43|Due to high levels of development on water recharge|Water and Sanitation|IDP_CITIZEN
43|Challenges: townships and peri-|Unknown|IDP_CITIZEN
43|Water infrastructure in a bad state resulting in unreliable urban areas is the|Water and Sanitation|IDP_CITIZEN
44|Responsibility of LWSC in township and peri-urban areas.|Unknown|IDP_CITIZEN
44|Onsite sanitation includes: septic tanks, VIP toilets, and Majority of people|Water and Sanitation|IDP_CITIZEN
44|Unplanned settlements:|Housing|IDP_CITIZEN
44|Majority use pit latrines, which increases ground water|Water and Sanitation|IDP_CITIZEN
44|Poor sanitation (some communities still practice open|Water and Sanitation|IDP_CITIZEN
44|Limited access to clean and safe • Rehabilitate 52 boreholes in all wards 10 in 2023, 5 in 2024, 15 in 2025, 12 in|Water and Sanitation|IDP_CITIZEN
44|Poor sanitation (some • Conduct 60 sensitization programs on sanitation and hygiene promotion|Water and Sanitation|IDP_CITIZEN
45|Community members can pay for emptying of their|Governance|IDP_CITIZEN
46|Absorbed by informal settlements due to low supply of rate is sluggish|Housing|IDP_CITIZEN
46|Over 75% built using temporal materials, especially in housing, and|Housing|IDP_CITIZEN
46|Building materials used: wood, grass, mud|Unknown|IDP_CITIZEN
46|Permanent structures often use moulded bricks from|Unknown|IDP_CITIZEN
46|Increased use of concrete blocks, especially in urban areas like piped water and|Water and Sanitation|IDP_CITIZEN
46|Rural households lack utility services like piped water and|Water and Sanitation|IDP_CITIZEN
46|Poor road network servicing rural households.|Roads and Drainages|IDP_CITIZEN
46|Provision of decent housing, safe water, sanitation, roads,|Water and Sanitation|IDP_CITIZEN
46|Not enough regulation of land use and development by|Housing|IDP_CITIZEN
46|Difficulty in enforcing building standards and managing site a farming district|Agriculture|IDP_CITIZEN
46|Majority of the land (approximately 130,834.064265 farming.|Agriculture|IDP_CITIZEN
46|Lack of alternative land makes delivering quality housing|Housing|IDP_CITIZEN
46|Settlements on land meant for road reserves or under high settlements on|Housing|IDP_CITIZEN
47|Restoring the diginity of poor people and providing proper|Unknown|IDP_CITIZEN
47|Demand for housing constantly increasing, outpacing constantly due to|Housing|IDP_CITIZEN
47|Increasing population due to high fertility rate and migration|Unknown|IDP_CITIZEN
47|Serious problems for poverty levels and resources.|Unknown|IDP_CITIZEN
47|Need for quick adaptation of public health, education, social, which causes|Education|IDP_CITIZEN
47|Challenges already exist due to changing population|Unknown|IDP_CITIZEN
47|Some people have built on Lukanga Water • Engagements with the local communities to raise awareness about the|Water and Sanitation|IDP_CITIZEN
47|Lengthy procedure by the Local Authority • Develop an integrated information land management system which will|Housing|IDP_CITIZEN
47|Install GIS software and configure network in 2024.|Unknown|IDP_CITIZEN
47|Lack of ownership documents such as • Upgrade informal settlements by providing services such as access roads,|Roads and Drainages|IDP_CITIZEN
47|Not enough houses to accommodate the • Create at least 2500 Plots for housing development, 500 per year from 2023|Housing|IDP_CITIZEN
48|According to the National Lands Policy of 2021,|Housing|IDP_CITIZEN
48|% of land allocations should be given to women.|Housing|IDP_CITIZEN
49|. SOCIAL PROTECTION SECTOR|Unknown|IDP_CITIZEN
49|Targets poor and vulnerable households to improve their Village banking|Unknown|IDP_CITIZEN
49|Provides life, business skills, and micro-credit to vulnerable women.|Commerce|IDP_CITIZEN
49|Promotes savings and financial inclusion at community level|Governance|IDP_CITIZEN
49|Implemented in 3 sub centres: Mpima, Mukobeko (Makululu),|Unknown|IDP_CITIZEN
49|Started in 2014 and 423 women have benefited since 2017. development.|Unknown|IDP_CITIZEN
49|Currently, 103 women have received loans totaling K161,500.|Unknown|IDP_CITIZEN
49|Fosters skills, economic development through group support|Unknown|IDP_CITIZEN
49|Promotes financing of Income Generating Activities (IGAs). implemented in 29|Unknown|IDP_CITIZEN
49|Implemented in all 9 sub centres. wards with 10,766|Governance|IDP_CITIZEN
49|31 groups supported with grants in 2021.|Unknown|IDP_CITIZEN
49|Social Cash Transfer program; Implemented in 29 wards,|Governance|IDP_CITIZEN
49|Beneficiaries serviced through service providers e.g. (Airtel,|Unknown|IDP_CITIZEN
49|CDF Empowerment: 348 clubs, cooperatives, organized funding.|Energy|IDP_CITIZEN
49|CDF Skills Development Bursary Support: About 1,500|Unknown|IDP_CITIZEN
49|Challenges faced: supported in the|Unknown|IDP_CITIZEN
49|Low number of youths and Person with Disabilities|Unknown|IDP_CITIZEN
49|Little understanding on who qualifies for the available|Unknown|IDP_CITIZEN
49|Few physical payment points for social cash transfer in|Unknown|IDP_CITIZEN
50|Low number of youths and persons with • Conduct 25 community sensitization meetings to encourage youths and|Governance|IDP_CITIZEN
50|Little understanding on who qualifies for • Conduct 40 sensitization programs 8 per year from 2023 to 2027.|Unknown|IDP_CITIZEN
