page|sector|goal_text|source_doc
55|Agriculture|Figure 25: Farmer Distribution by Gender Source: Ministry of Agriculture 3.1.4 Impact of the Continuation of Existing Trends on Population and Settlements The continuation of the existing trend on population increase has a serious impact on a number of other available resources such as human resource, equipment, infrastructure and arable land.|IDP_MAIN
56|Environment|3.1.5 Environment and Climate Change The impact on land due to the increase in farmer population and non- environmentally friendly farming practices can lead to negative impacts on the environment and climate in the long line.|IDP_MAIN
56|Unknown|However, the sector still strives to ensure that there is provision of adequate and quality extension services.|IDP_MAIN
57|Agriculture|The government is fostering aquaculture developmemt in the district, resulting in an increase in the number of aquaculture activities, with both small-scale and emergent (smallholder) farmers involved.|IDP_MAIN
57|Agriculture|The following projects are being implemented in the district to promote fish farming; • Zambia Aquaculture Enterprise Development Project (ZAEDEP): The project i providing loans to individuals with four (4) individual beneficiaries financed for fish production in the district.|IDP_MAIN
59|Agriculture|There has been an increase in the number of aquaculture activities, with both small-scale and emergent (smallholder) farmers involved.|IDP_MAIN
62|Commerce|A total of 126 business activities were supported by CEEC from 2011 to 2019.|IDP_MAIN
62|Unknown|To reduce poverty and increase household food security, government had put in place a number of interventions such as Public Welfare Assistance Scheme (PWAS) and Social Cash Transfer programme.|IDP_MAIN
66|Commerce|Figure 28: Sectors affiliated to KCCI, 2019 KCCI, 2019 3.3.2.1 Markets Analysis It is a well-established true that, Markets enhance the local economic development of any district.|IDP_MAIN
68|Commerce|Increase in waste generation has been necessitated by increased market, CBD businesses, street and industrial activities.|IDP_MAIN
68|Water and Sanitation|3.3.5 Issues Arising from the Public Consultations During the public participation process the community highlighted the following challenges; high poverty levels, inadequate markets and deplorable infrastructure, poor water supply and sanitation in markets, increase in street vending, high unemployment levels, limited access to financial institutions and credit services, high cost of doing busine|IDP_MAIN
70|Unknown|3.4 Tourism 3.4.1 Key Government Priorities Being and To Be Implemented at A Local Level Tourism is one of the sectors that has potential to improve the economic aspect of the district.|IDP_MAIN
70|Unknown|The following discussion focuses on the tourist sites the district is endowed with that can be promoted in order to promote local economic development 3.4.2.1 Lukanga Swamp Lukanga Swamp is a permanently swampy area located 50Km west of Kabwe district.|IDP_MAIN
74|Unknown|Given its historical significance, it is crucial to safeguard and promote Broken Hill Mine as a tourist attraction.|IDP_MAIN
77|Commerce|However, attributing to the fact that there has been inadequate marketing of tourist products, low level of development of support infrastructure for Arts, Culture and tourism, low funding levels it is anticipated that the sector will not do fine, unless the challenges highlighted are taken into consideration as an increase in population should be seen as a great opportunity for the sector to thri|IDP_MAIN
77|Unknown|It further has potential tourist attraction sites that can enhance the tourism sector and contribute to economic development of the area.|IDP_MAIN
78|Unknown|3.4.4Existing and Proposed Investment and Development Programmes In order to enhance the competitiveness of tourism in Kabwe, there is need for investment by constructing cultural and arts infrastructure facility.|IDP_MAIN
79|Unknown|Therefore, Kabwe District will promote a robust and competitive transport network that will service not only the district but the nation in line with the aspirations of the National Vision 2030 and SDG No.11.|IDP_MAIN
82|Health|1.6 Due to bad timing of the Nil With the slight improvement, Hospital Bwacha HIPC programme when traffic increase because it is the Township the road was graded, shorted rout to the hospital there was very little from Bwacha Chimanimani improvement and still and Ngungu townships.|IDP_MAIN
82|Roads and Drainages|D 200 kabwe – 40 This road was recently Mulungushi To keep traffic flowing at the Mukonchi worked on by a current rate, there is need to contractor and it is in put in place a maintenance good condition programme to ensure that the road is kept in a good state, otherwise the whole investment would go to waste.|IDP_MAIN
83|Unknown|Kapiri Mposhi to Ndola, into a dual carriageway to ease the movement of vehicles such as trucks, buses, and motor vehicles and to reduce on accidents.|IDP_MAIN
83|Roads and Drainages|The proposed construction of a dual carriage way will require a bypasses around the towns of Kabwe and Kapiri Mposhi that will serve as an economic road for farmers and mining activities and reduce on traffic congestion in the Central Business District.|IDP_MAIN
84|Commerce|The continued growth in the urban population will lead to further increase in demand for limited urban services and increased congestion in the Central Business District.|IDP_MAIN
84|Environment|The anticipated population growth and increase in vehicular traffic may contribute to environmental degradation due to emission of pollutants and clearing of land for investment resulting into to loss of biodiversity.|IDP_MAIN
84|Roads and Drainages|The district’s distribution of small-scale farmers shows that women account for 52.6 percent of smallholder farmers in the district, therefore a poor road network entails limited access to good market for their farm produce which may increase the poverty and vulnerability levels of women headed households.|IDP_MAIN
85|Unknown|Currently the Government in collaboration with SMART Zambia has embarked on a robust program on integrated information management systems where Government departments are connected to Government Wide Area Network (GWAN) in order to enhance service delivery.|IDP_MAIN
85|Unknown|The new exchange however needs to be matched with a new cable network to achieve optimum efficiency.|IDP_MAIN
87|Energy|The Government through ZESCO intends to increase electricity transmission and distribution in the district ZESCO has embarked on the construction and upgrading of power substations.|IDP_MAIN
88|Unknown|3.7.7 Impact of Changes Anticipated Over the Next Ten Years 3.7.7.1 Population Change – Future Demand for Services and Facilities The projected population growth for Kabwe district shows an increase in population density from 151Km2 in 2020 to 183Km2 in 2035.|IDP_MAIN
88|Environment|The current deficit in electricity will likely promote the cutting down of trees for charcoal production and firewood which contributes to environmental degradation and global warming.|IDP_MAIN
88|Energy|The anticipated population growth and dependence on electricity will require strategic interventions to promote sustainable use of energy and also investments in renewable energy.|IDP_MAIN
89|Environment|3.7.8 The Impact of Environmental and Climate Change Issues on the Sector The continued deprivation of access to electricity in the peri urban and rural areas of the district will continue to promote deforestation due to the need for firewood and charcoal for energy consumption.|IDP_MAIN
90|Energy|In order to promote environmental sustainability and human and social development, it is imperative that the IDP area enhances access to reliable and clean energy.|IDP_MAIN
90|Unknown|3.8 Mining Lead (Pb) and Zinc (Zn) mineral deposits occur in their natural states in many parts of Kabwe and mining activities span from 1902 to 1994 to extract these resources.|IDP_MAIN
90|Environment|The following interventions have been implemented and others are still under implementation: 3.8.1.1 The Copperbelt Environmental Project (CEP) The Copperbelt Environmental Project (CEP), funded by the World Bank from 2003 to 2011, aimed to address environmental liabilities hindering mining investments in Zambia.|IDP_MAIN
94|Environment|Other interventions that Government has been implementing in the district to reduce pollution and to promote sustainable mining include; i) Intensifying sensitizations in the district in order to reduce exposure to lead contamination especially among residents living around the Mines.|IDP_MAIN
94|Health|ii) Conducting compliance inspections and monitoring of all the mines in the district, to ensure they operate in accordance with the provisions of the existing Laws such as the Environmental Management Act, Occupational Health and Safety Act, Public Health Act, and others.|IDP_MAIN
94|Unknown|iii) Closure of all illegal mining activities, which has potential to increase contamination levels of lead in the district.|IDP_MAIN
98|Education|Table 3.1.1 shows the enrolment levels in the different education levels in the district from 2010 to 2021 80|IDP_MAIN
101|Education|3.9.1.2.1 Quality of Service Including Key Indicators of Performance 3.9.1.2.1.1 Total Number of Teachers from 2016 to 2021 The total number of teachers in the district was 1,967 in 2016 and 2964 in 2021 as presented below.|IDP_MAIN
103|Education|The rapid increase in enrolments could be attributed to inadequate infrastructure development in terms of classroom blocks.|IDP_MAIN
104|Education|Further, this may signify efforts to promote equal educational opportunities for both genders which is critical to the 86|IDP_MAIN
106|Education|Figure 48: Number of Teachers by Education Level and Sex DEBS-Kabwe, 2023 3.9.1.2.1.11 Number of Classroom at each level of Education The district experienced an increase in the number of classrooms from 118 in 2019 to 134 in 2021 under the Early Childhood Education.|IDP_MAIN
107|Unknown|Grade 12 and 9 district examination performance showed a steady increase by 6% and 5% respectively.|IDP_MAIN
109|Education|These projections give an indication that demand for both primary and secondary schools including educational facilities such as classrooms, desks, books will increase and if not looked into service provision will go down.|IDP_MAIN
112|Environment|The intense heat associated with climate change contributes to increase in disease outbreaks resulting in deaths leaving most children orphaned.|IDP_MAIN
112|Environment|Strategies have been put in place to ensure conservation and preservation of the environment through tree planting activities, Keep Kabwe Clean green and healthy Campaign and preservation of open spaces.|IDP_MAIN
114|Health|It is worth to note that, a healthy labor force is crucial for the successful attainment of Zambia’s Vision 2030 objective of becoming a prosperous middle-income nation as it enables the country to enhance its economic productivity and earn a substantial demographic dividend.|IDP_MAIN
114|Health|Emphasis will be placed on strengthening health systems and services using the primary health care approach, to enhance the wellbeing of all residents.|IDP_MAIN
114|Health|To achieve this, investments will be made in strengthening health promotion programmes and ensuring availability of all critical health system ingredients including adequate medical personnel, equipment, infrastructure and medical supplies.|IDP_MAIN
117|Health|Figure 54: Households within 5Km Facility (%), Rural Urban Source: KDHO, 2022 3.10.2.1.5 Provision of Health Care Services (Key Performance Indicators) 2.10.3.2.5.1 Women aged (15-49) Attending ANC in first trimester Vs Child Delivery Access to proper medical attention immediately a woman falls pregnant can reduce the risk of complications and infections that may lead to death or serious illness o|IDP_MAIN
120|Unknown|3.10.2.1.8.1 TB Incidence and Treatment Success Rate (new and relapse) In terms of TB Incidence Rate per 100,000 Populations, the district recorded 662 cases of TB in 2021 showing a rising graph over the period of 3 years and the increase was huge from 352 in 2020 to 662 in 2021.|IDP_MAIN
121|Health|Figure 61:Prevalence rate of Under 5 Children stunted, underweight & Wasted Figure 63: Prevalence rate of Under 5 children stunted, underweight & wasted Source: KDHO, 2022 3.10.2.1.8.2 Incidences of Deaths 3.10.2.1.8.2.1 Maternal Mortality per 1,000 live births Access to proper medical attention and hygienic conditions during delivery can reduce the risk of complications and infections that may le|IDP_MAIN
124|Health|There is need to improve road network and transport management especially in rural wards in order to enhance the health care delivery system in the district.|IDP_MAIN
125|Water and Sanitation|There is need therefore for the district to increase levels of access to clean and safe water and sanitation services for people especially in rural areas.|IDP_MAIN
128|Water and Sanitation|With the projected increase of 286,418 additional populations by 2035, the district will require 13 more health facilities with supporting infrastructure for water and sanitation.|IDP_MAIN
129|Environment|3.10.3.3 Environment and Climate Change Analysis 3.10.3.3.1 The Impact of Existing Trends on the Environment and Climate Change In an effort to reduce the pollution of both ground and surface water originating from indiscriminate waste disposal, the health sector plays an important role to address of issues climate change.|IDP_MAIN
130|Energy|3.11 Community Development and Social Welfare Community Development is Government’s resolve and instrument to reduce poverty and vulnerability as well as economic inequalities through the provision of livelihood and empowerment interventions to individuals, families and communities, to realize the aspirations of the Vision 2030 and the Sustainable Development Goals (SDGs) among various strategic d|IDP_MAIN
130|Governance|The provisions of certain aspects of community development programmes in Zambia are governed by pieces of legislation, which provide legal framework and promote human rights such as the African Union policy framework, Universal Declaration of Human Rights, Declaration on Social Progress and Development and Convention on the Elimination of all forms of Discrimination Against Women and other Interna|IDP_MAIN
130|Energy|3.11.1 Key Government Priorities being and to implemented at Local Level The district through the Department of Community Development is implementing socio economic empowerment program for the poor and vulnerable but viable households by supporting them with various Social Protection interventions to enhance their livelihoods for self-sustainability and poverty reduction.|IDP_MAIN
130|Unknown|The table below shows the number of beneficiaries of the Food Security Pack from 2017 to 2021 segregated as follows; 112|IDP_MAIN
133|Unknown|3.12.1 Land Management and Administration Access to land means an opportunity to earn a decent income and achieve food and nutrition security.|IDP_MAIN
134|Environment|In an effort to improve access to land and to address the increased demand for land the Government in 2019 through Statutory instrument No.173 excised the Kabwe National Forest No.|IDP_MAIN
134|Unknown|The report revealed that there was an increase in illegal land allocation in the district which was prominent in informal settlements such as Kawama, Makululu, Katondo.|IDP_MAIN
134|Water and Sanitation|The report further revealed that there was an increase in encroachments on water infrastructure such as the Lukanga well field.|IDP_MAIN
135|Unknown|For instance, the Local Authority from 2010 to 2022 received a total number of 12,473 applications for land in comparison to the 3720 plots that were advertised.|IDP_MAIN
136|Education|This will entail the need to increase education, health, housing infrastructure to match the needs of the population.|IDP_MAIN
136|Unknown|3.12.1.4.3 Existing Trends on Population and Settlements The demographic analysis denotes that about 70% of the projected population growth will be absorbed by the informal settlements and the increase in demand for land will lead to more proliferation of informal settlements in the district.|IDP_MAIN
136|Unknown|The increase in demand for land and the inability of the Local Authority to meet its demand will entail an increase in the informal settlements around the fringes of the urban core of the district.|IDP_MAIN
137|Agriculture|into an increase in zonal use change particularly from agriculture to mixed development in and creation of growth nodes in order to meet the high demand for various land uses.|IDP_MAIN
137|Environment|According to the Kabwe State of Environment Outlook report the district experienced an increase in the levels of encroachment in the forest reserves from 5% in 2010 to 65% in 2019 which was attributed to extension of agriculture land and settlements amongst others.|IDP_MAIN
137|Governance|To increase access to land and to create a conducive environment for good governance, focus will be on sensitization on the policies and legal frameworks that promotes access to land by the marginalized and vulnerable groups and adherence by the Local Authority to these pieces of legislature employed.|IDP_MAIN
138|Unknown|With the increase in the economic and social activities the Kabwe has witnessed over the years, the district has experienced an increased pressure on the supply of housing unit for the general populace.|IDP_MAIN
143|Unknown|3.13.1.4 Impact of Changes Anticipated over the next ten Years Analysis on 25-year span (2010-2035) shows that by 2035, population in the age groups (0-14) and (15-65) will increase by 41.5%.|IDP_MAIN
143|Unknown|The implications for this increase is that, demand for public social amenities facilities will increase as well and existing facilities will not meet this change in demand.|IDP_MAIN
143|Unknown|This will demand for an increase in access to clean and safe 125|IDP_MAIN
144|Water and Sanitation|Therefore, strategies to improve water supply and sanitation services will be intensified in the District with key priorities given to water quality monitoring, water supply and sanitation promotion, water supply and sanitation infrastructure development, enhancing stakeholders’ involvement, sustainable operations and maintenance improvement.|IDP_MAIN
145|Water and Sanitation|There has been a reduction in the available ground water abstracted by Lukanga Water sanitation from approximately 1,0000,7000 to 700,000 m3 per annum from 2015 to 2020 which is attributed mainly to high levels of encroachment on the aquifers.|IDP_MAIN
146|Water and Sanitation|3.14.1.1.3 Sanitation Situation In the township and peri-urban areas, provision of the sanitation system is the responsibility of the Lukanga Water Supply and Sanitation Company (LWSC), with some areas using onsite sanitation, which includes Septic Tanks, VIP toilets and improve latrines.|IDP_MAIN
146|Water and Sanitation|To improve sanitation in the district, Lukanga Water Supply and Sanitation Company (LGWSC) in collaboration with stakeholders such as KMC and SNV have been desludging onsite sanitation facilities.|IDP_MAIN
146|Water and Sanitation|This has resulted in an increase in the number of people using onsite sanitation facilities.|IDP_MAIN
147|Unknown|The Local Authority in working with SUN TA, SNV are urged to intensify sensitization programs and enforcements in peri-urban and rural areas and ensure that the whole District is Open Defecation Free.|IDP_MAIN
147|Water and Sanitation|With population growth and increase in urbanization, the current water supply and sanitation services are expected to be inadequate for there will be more demand to this.|IDP_MAIN
147|Health|Investing in efforts that slow the rates of population growth through increasing access to voluntary family planning services can help ensure that ample water is available for food production, ecosystem health, and political and social stability.|IDP_MAIN
148|Unknown|The district through a collaborative approach with the Local Authority, SUN TA, SNV is committed to intensify sensitization programs and enforcements in peri-urban and rural areas and ensure that the whole District is Open Defecation Free.|IDP_MAIN
148|Water and Sanitation|This is resulting from unequal distribution of water resource infrastructure, a situation contributing to poor sanitation levels and increase in poverty levels.|IDP_MAIN
149|Water and Sanitation|In the urban area it’s the inadequate resources by the water utility to expand the current network.|IDP_MAIN
149|Governance|Government is keen to promote the stewardship and use of the forests and forest lands in a way and at a rate, that maintains their biodiversity, productivity, regeneration capacity and their potential to fulfill, now and in the future, relevant ecological, economic and social functions that does not cause damage to other ecosystem.|IDP_MAIN
149|Environment|From 2007 to 2018 the district established 10, 382 tree plantations.|IDP_MAIN
153|Water and Sanitation|This is evidenced by a reduction in the amount of water abstracted by LgWSC from approximately 1,000,700m3 to 700,000 m3 per annum from 2015 to 2020.|IDP_MAIN
154|Unknown|Table 11.1.3 shows encroachment levels in Kabwe from 2010 to 2019.|IDP_MAIN
154|Environment|Table 40: Rate of Deforestation Table 41: Challenges relating to the transport network in KabweTable 42: Rate of Deforestation Table 29: Encroachments of Forests in the District from 2010 to 2019 136|IDP_MAIN
155|Environment|Table 30 shows the levels of encroachment of protected forests which have been on an increase from 5 percent in 2010 to 65 percent in 2019 representing a loss of 11.1.3 ha.|IDP_MAIN
157|Environment|3.16 Solid Waste Management 3.16.1 Key Government Priorities Being and To Be Implemented at a Local Level The Provision of solid waste management will be a priority under this Plan with focus on institutional and capacity development to ensure the local authority is well equipped to provide the service.|IDP_MAIN
157|Environment|Provision of appropriate equipment and infrastructure for solid waste management will be facilitated to ensure sustainable service delivery.|IDP_MAIN
157|Environment|Strategies to improve solid waste management services will be intensified in the District.|IDP_MAIN
158|Governance|Table 43: Estimated Waste Generation per year from 2020 to 2035 Year Population Estimated Waste Per Annum (Kg) 2022 299,206 51,311,880 2025 329,816 52,791,045 2026 340,700 55,500,075 2030 387,947 59,077,221 2036 456,325 62,725,542 KMC, 2022 3.16.2.1 Solid Waste Management Situation In order to improve waste management in the District, Kabwe Municipal Council conducts awareness campaigns targeting |IDP_MAIN
159|Governance|Figure 73: Loading of garbage in the skip bins Hired Front End Loader clearing dumpsite In order to improve solid waste service provision in the District, the Council has zoned the District into six Solid Waste Zones, and currently working on the advertisement to engage franchise companies as well as Community Based Enterprises to service the designated Zones and they will be in operation by 2023.|IDP_MAIN
159|Governance|In order to enhance full participation by all stakeholders, a Steering Committee was formed to spearhead the activities of the campaign and meetings are held once in a month.|IDP_MAIN
160|Unknown|The situation is expected to worsen with the increase in population every year.|IDP_MAIN
160|Environment|Recycling can reduce the quantity of waste that is being disposed of at the dumpsite.|IDP_MAIN
161|Commerce|The growth in population means an increase in the quantity of wastes being generated by the residents and businesses of Kabwe.|IDP_MAIN
161|Environment|This calls for improved and intensified solid waste management in the District, especially with the rapid increase of population in Kabwe.|IDP_MAIN
164|Unknown|This section has further provided a spatial development framework that will promote sustainable functional and integrated human settlements and will enable attain the vision, goals and objectives of the IDP.|IDP_MAIN
164|Unknown|4.1 Vision Kabwe District aspires to be “a sustainable vibrant, inclusive, well connected and smart city by 2050”.|IDP_MAIN
164|Unknown|The vision of the District resonates well with the National Vision 2030 of becoming a prosperous Middle-Income country by 2030.|IDP_MAIN
165|Unknown|Enhance Human and Social Development through promotion of access to public and social services viii.|IDP_MAIN
166|Governance|LED Strategy This document promotes sustainable local economic LED approaches will ensure; that that development managed with the participation of key the local investment climate is stakeholders at the local level.|IDP_MAIN
166|Health|It takes into consideration various regional to the policy and key strategies at the and international instruments, protocols and commitments local level and must contribute to which will ensure that Zambia’s health programs are integrated national goals in the health sector.|IDP_MAIN
166|Education|The policy considers gender, HIV and disabilities to be schools at all levels from early child among priority cross-cutting issues that need to be integrated education through to tertiary in planning education These facilities should be duly situated so as to enhance accessibility.|IDP_MAIN
166|Governance|Decentralisation The long term vision of Government is to achieve a fully All matters relating to planning Policy decentralized and democratically elected system of governance process, institutional arrangements characterized by open, predictable and transparent policy must be taken into account in the IDP making and implementation processes at all levels of the process.|IDP_MAIN
166|Governance|Emphasis for planning is to public service, effective local community participation in ensure that planning activities are decision-making and development administration while taken at appropriate local level.|IDP_MAIN
166|Agriculture|It takes into agricultural development and for the consideration the primary, secondary and tertiary processes in promotion of high value crops, food agricultural production and provides for attention to the crops and livestock, aquaculture and concerns regarding the failure to increase rural incomes and all forms of agriculture.|IDP_MAIN
166|Commerce|reduce poverty, failure to achieve inclusive growth, the Considerations must be made for perpetual agricultural financing and marketing challenges; and urban agriculture to supply urban climate change associated with erratic rainfall patterns centres and provide incomes.|IDP_MAIN
167|Health|It also planning process must deliberately addresses gender-based violence, human trafficking, drug ensure that women actively abuse and trafficking; gender disparities in positions of decision participate as stakeholders in the making; emerging health issues affecting mostly consultations.|IDP_MAIN
168|Commerce|National Trade Policy National Trade Policy was established to enhance domestic trade and IDP must take into account Trade Policy ensure effective participation of private sector players in regional and measures aimed at handling trade related international trade.|IDP_MAIN
169|Unknown|The section provides details of the issues raised and the possible strategies, activities and targets planned in order to achieve equitable economic development in the district.|IDP_MAIN
169|Unknown|Goal: An Industrialized Diversified Economy 151|IDP_MAIN
170|Roads and Drainages|Council compactor, tipper, excavator) Objective 2: To construct 2 bridges by 2027 152|IDP_MAIN
173|Agriculture|facilities Conduct Farmer Across the District 50 190 38 38 38 38 38 MoA sensitisation meetings Increase Irrigation Hectarage Conduct Farmer farming Across the District 19 95 19 19 19 19 19 MoA under training promotion irrigation Construction of a dam Munyama Block 50 1 0 0 1 0 0 MoA 155|IDP_MAIN
181|Education|Objective 14: To empower 1,020 youths, women, and disabled (Cooperatives, Clubs, Associations, and Organized Groups) by 2027 Offering Offering of 1,020 grants Empowerment grants to Organized All wards 120 1,020 120 150 200 250 300 GRZ, KMC Groups Objective 15: To empower 2,016 youths with skills development under TEVETA by 2027 Skills developmen Training of 2,016 t Empowerment youth by TEVETA All |IDP_MAIN
182|Unknown|The development interventions highlighted under this SDA will therefore address these challenges and improve the welfare of the people of Kabwe in line with the 8NDP theme of, “Socio-economic Transformation for Improved Livelihoods”.|IDP_MAIN
182|Education|c y/Dep s a a T t B 2023 2024 2025 2026 2027 Objectives ENHANCE ACCESS TO QUALITY, EQUITABLE AND INCLUSIVE EDUCTION BY 2027 Improve on Teacher Deployment of 1490 Across the staffing 0 1490 75 355 355 355 350 MOE Deployment teachers in the district.|IDP_MAIN
182|Education|district levels Adult Promote Education/A Adult Opening of 25 Adult Munyama and dult Literacy 14 25 6 6 4 5 4 MOE Literacy literacy Education Centers Chinyanja Adult Program Literacy Justine Kabwe,Waya,C Promote Early Establishment of 16 more hililalila,Nakoli, Early Childhood Early childhood centers in Bwacha, 43 16 2 4 2 4 4 MOE Childhood centers 16 primary schools Kawama,Bwach Education a,Chima|IDP_MAIN
184|Education|school Kasanda Malombe structure primary school Enhance Construction of ablution All Wards 0 100 10 20 30 25 25 MOE access to blocks in schools.|IDP_MAIN
187|Water and Sanitation|Improve Drill, test and equip new All wards 0 52 10 5 15 12 10 LA access to boreholes clean and Rehabilitation of 52 All wards 0 52 10 5 15 12 10 LgWSC safe water boreholes supply Munyama, Munga, Chinyanja, Muwowo East, Muwowo West, Justin Kabwe, Installation of water Nakoli, Waya, Water 0 16 4 4 4 4 kiosks Kalonga Affairs (Kamushanga, Kakumbi and Makwati, Luansanse Kulamase, Chirwa, Njanji , Mpim|IDP_MAIN
187|Health|ambulances and utility vehicles) for smooth health service delivery Equipment and Increase MOH/COOR transport access to Procure 4 basic standard Kabwe district PERATING procurement 0 4 1 1 1 1 - quality health ambulances hub/zones PARTNERS/ and care CDF maintenance Kabwe district Procurement of 35 health 10 35 5 10 10 10 - motorbikes office/health facilities Procurement of 2 4*4 and 1 Kabwe Distri|IDP_MAIN
